file_key,one_shot_solved,one_shot_time_mean,cadical_solved,cadical_time,pattern,method,paper_name,parallel_solved,parallel_time,winner,online_solved,online_time_mean,old_compact_solved,old_compact_time_mean,local_correction_solved,local_correction_time_mean
3sat_189.cnf,False,60.30145775794984,True,18.62347537931055,0111,one_shot,One-shot,True,18.62347537931055,cadical,,,,,,
3sat_19.cnf,True,4.004447757949829,True,0.5883188471198082,1111,one_shot,One-shot,True,0.5883188471198082,cadical,,,,,,
3sat_190.cnf,True,0.3524814246164957,True,0.5868944441899657,1111,one_shot,One-shot,True,0.3524814246164957,one_shot,,,,,,
3sat_191.cnf,False,60.309991091283166,True,6.9544531889259815,0000,one_shot,One-shot,True,6.9544531889259815,cadical,,,,,,
3sat_192.cnf,False,60.29285775794983,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_193.cnf,False,60.30305775794983,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_194.cnf,False,60.30509109128317,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_195.cnf,False,60.30605775794982,True,47.50026782695204,0000,one_shot,One-shot,True,47.50026782695204,cadical,,,,,,
3sat_196.cnf,True,31.219024424616496,True,2.9408471388742328,1111,one_shot,One-shot,True,2.9408471388742328,cadical,,,,,,
3sat_197.cnf,False,60.30165775794983,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_198.cnf,False,60.33141090367635,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_199.cnf,False,60.32441090367635,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_2.cnf,False,60.33337757034303,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_20.cnf,True,12.713544237009684,True,1.4493690188974142,1111,one_shot,One-shot,True,1.4493690188974142,cadical,,,,,,
3sat_21.cnf,False,60.32851090367635,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_22.cnf,True,1.687030903676351,True,18.592141778673977,1111,one_shot,One-shot,True,1.687030903676351,one_shot,,,,,,
3sat_23.cnf,False,60.33467757034302,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_24.cnf,True,4.481920903676351,True,0.6385623048990965,1111,one_shot,One-shot,True,0.6385623048990965,cadical,,,,,,
3sat_25.cnf,True,1.5219375703430178,False,60.0,1111,one_shot,One-shot,True,1.5219375703430178,one_shot,,,,,,
3sat_26.cnf,False,60.340444237009685,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_27.cnf,True,0.5109652749176025,True,1.191111512016505,1111,one_shot,One-shot,True,0.5109652749176025,one_shot,,,,,,
3sat_28.cnf,False,60.29495327491761,True,17.859642781782895,0000,one_shot,One-shot,True,17.859642781782895,cadical,,,,,,
3sat_29.cnf,False,60.2978532749176,True,36.56515139807016,0000,one_shot,One-shot,True,36.56515139807016,cadical,,,,,,
3sat_3.cnf,False,60.29118660825094,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_30.cnf,False,60.293553274917606,True,18.332298184745014,0000,one_shot,One-shot,True,18.332298184745014,cadical,,,,,,
3sat_31.cnf,False,60.3007532749176,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
