instance,file_key,group,method,repeat,result,time,cpu_time,timeout,conclusion_tag,raw_csv
3sat_97.cnf,3sat_97.cnf,recovered_timeout,online_consistent_boundary400,1,SATISFIABLE,12.362023680801393,12.0334,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat1.csv
3sat_188.cnf,3sat_188.cnf,local_open_set,online_consistent_boundary400,1,INDETERMINATE,60.215033313919065,59.979,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat1.csv
3sat_196.cnf,3sat_196.cnf,local_open_set,online_consistent_boundary400,1,SATISFIABLE,25.032008313919064,24.7887,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat1.csv
3sat_46.cnf,3sat_46.cnf,local_open_set,online_consistent_boundary400,1,SATISFIABLE,30.35332531391907,30.1207,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat1.csv
3sat_66.cnf,3sat_66.cnf,local_open_set,online_consistent_boundary400,1,INDETERMINATE,60.22427031391907,59.9894,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat1.csv
3sat_188.cnf,3sat_188.cnf,local_open_set,local_reopen_guarded,1,SATISFIABLE,26.482244993637085,26.2121,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat1.csv
3sat_196.cnf,3sat_196.cnf,local_open_set,local_reopen_guarded,1,SATISFIABLE,9.100979993637084,8.82664,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat1.csv
3sat_46.cnf,3sat_46.cnf,local_open_set,local_reopen_guarded,1,SATISFIABLE,0.4508449936370849,0.179438,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat1.csv
3sat_66.cnf,3sat_66.cnf,local_open_set,local_reopen_guarded,1,INDETERMINATE,60.26196699363708,59.9886,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat1.csv
3sat_163.cnf,3sat_163.cnf,recovered_timeout,one_shot,2,INDETERMINATE,60.20881841316224,59.9714,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat2.csv
3sat_188.cnf,3sat_188.cnf,recovered_timeout,one_shot,2,INDETERMINATE,60.22831841316224,59.9909,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat2.csv
3sat_189.cnf,3sat_189.cnf,recovered_timeout,one_shot,2,INDETERMINATE,60.20671841316223,59.9693,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat2.csv
3sat_85.cnf,3sat_85.cnf,recovered_timeout,one_shot,2,INDETERMINATE,60.22061841316223,59.9832,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat2.csv
3sat_89.cnf,3sat_89.cnf,recovered_timeout,one_shot,2,INDETERMINATE,60.21541841316223,59.978,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat2.csv
3sat_97.cnf,3sat_97.cnf,recovered_timeout,one_shot,2,INDETERMINATE,60.21121841316223,59.9738,True,timeout,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/one_shot/repeat2.csv
3sat_163.cnf,3sat_163.cnf,recovered_timeout,online_consistent_boundary400,2,SATISFIABLE,27.5840178147583,27.2733,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat2.csv
3sat_188.cnf,3sat_188.cnf,recovered_timeout,online_consistent_boundary400,2,SATISFIABLE,26.1367888147583,25.8221,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat2.csv
3sat_189.cnf,3sat_189.cnf,recovered_timeout,online_consistent_boundary400,2,SATISFIABLE,14.4952198147583,14.1772,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat2.csv
3sat_85.cnf,3sat_85.cnf,recovered_timeout,online_consistent_boundary400,2,SATISFIABLE,0.9969518147583007,0.677594,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat2.csv
3sat_89.cnf,3sat_89.cnf,recovered_timeout,online_consistent_boundary400,2,SATISFIABLE,0.4669038147583008,0.160187,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat2.csv
3sat_97.cnf,3sat_97.cnf,recovered_timeout,online_consistent_boundary400,2,SATISFIABLE,12.3229568147583,12.0145,False,solved,runs/analysis/repeated_runtime_audit/raw/recovered_timeout/online_consistent_boundary400/repeat2.csv
3sat_188.cnf,3sat_188.cnf,local_open_set,online_consistent_boundary400,2,SATISFIABLE,26.580397667526245,26.3318,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat2.csv
3sat_196.cnf,3sat_196.cnf,local_open_set,online_consistent_boundary400,2,SATISFIABLE,24.478238667526245,24.2214,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat2.csv
3sat_46.cnf,3sat_46.cnf,local_open_set,online_consistent_boundary400,2,SATISFIABLE,31.12012566752625,30.8683,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat2.csv
3sat_66.cnf,3sat_66.cnf,local_open_set,online_consistent_boundary400,2,INDETERMINATE,60.222408667526246,59.9698,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/online_consistent_boundary400/repeat2.csv
3sat_188.cnf,3sat_188.cnf,local_open_set,local_reopen_guarded,2,SATISFIABLE,26.139999407302856,25.8671,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat2.csv
3sat_196.cnf,3sat_196.cnf,local_open_set,local_reopen_guarded,2,SATISFIABLE,9.916731407302857,9.65181,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat2.csv
3sat_46.cnf,3sat_46.cnf,local_open_set,local_reopen_guarded,2,SATISFIABLE,0.4685924073028564,0.188968,False,boundary_candidate,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat2.csv
3sat_66.cnf,3sat_66.cnf,local_open_set,local_reopen_guarded,2,INDETERMINATE,60.25173340730286,59.9756,True,timeout,runs/analysis/repeated_runtime_audit/raw/local_open_set/local_reopen_guarded/repeat2.csv
