checkpoint,checkpoint_order,warmup_conflicts,family,base_instance_id,rows,search_ok_frac,search_blowup_frac,adapter_cached_cpu_delta_mean,adapter_cached_cpu_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,adapter_plain_protocol_delta_mean,adapter_plain_protocol_improved_frac
iter=115,115.0,3,subset_cardinality,subset_cardinality_bw10,9,0.3333333333333333,0.6666666666666666,-0.0001404444444444333,-0.000238,13.0,-1.0,0.2725434320176376,0.0
iter=115,115.0,3,subset_cardinality,subset_cardinality_bw12,9,0.0,1.0,-0.000530222222222211,-0.0007769999999999,21.333333333333332,18.666666666666668,0.2651569678015973,0.0
iter=115,115.0,3,subset_cardinality,subset_cardinality_bw8,9,0.0,1.0,-0.0005585555555555222,-0.000196,13.0,3.3333333333333335,0.26029318037798665,0.0
iter=50,50.0,1,complete_coloring,k10_color9,9,0.3333333333333333,0.6666666666666666,-0.6587622222222221,-0.9912800000000002,-3460.6666666666665,-3713.0,0.4418613120498393,0.2222222222222222
iter=50,50.0,1,complete_coloring,k8_color7,9,0.3333333333333333,0.6666666666666666,-0.010287888888888888,-0.010365,-30.0,-32.333333333333336,1.167753085104366,0.0
iter=50,50.0,1,complete_coloring,k9_color8,9,1.0,0.0,-0.26944322222222217,-0.238613,-6670.0,-6141.666666666667,0.7695283657559686,0.2222222222222222
iter=50,50.0,1,php,php_p10_h9,9,0.3333333333333333,0.6666666666666666,-0.5025911111111111,-0.7626200000000001,-3460.6666666666665,-3713.0,-0.5001343126315541,0.7777777777777778
iter=50,50.0,1,php,php_p9_h8,9,1.0,0.0,-0.22590255555555552,-0.2468079999999999,-5991.666666666667,-5562.666666666667,0.2527148700928952,0.0
iter=50,50.0,1,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,0.0,1.0,0.0017148888888888223,0.0024059999999999,661.0,487.6666666666667,0.4549848724033832,0.0
iter=50,50.0,1,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,0.0,1.0,0.5778068888888889,0.6014619999999999,37563.0,33199.666666666664,0.40810979058210717,0.2222222222222222
iter=50,50.0,1,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,0.0,1.0,0.007783666666666655,0.00719,679.0,572.0,-0.20940922961456254,0.5555555555555556
iter=50,50.0,1,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,0.0,1.0,0.20246999999999996,0.1860529999999999,12625.0,11126.666666666666,0.7567003365453613,0.0
iter=50,50.0,1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,0.3333333333333333,0.6666666666666666,-0.18627044444444452,-0.04302,6884.333333333333,5454.333333333333,-4.062507001293288,1.0
iter=50,50.0,1,random_3sat_control,random_3sat_control_v260_c1113_seed3306,9,0.0,1.0,0.47299111111111103,0.7475699999999996,50140.333333333336,39158.0,1.4050352140900095,0.0
iter=50,50.0,1,random_3sat_control,random_3sat_control_v300_c1266_seed3307,9,0.0,1.0,0.025755999999999977,0.023962,2163.0,1752.0,-0.8779828742665979,0.7777777777777778
iter=50,50.0,1,subset_cardinality,subset_cardinality_bw10,9,0.3333333333333333,0.6666666666666666,0.0018214444444444335,0.001718,1.6666666666666667,1.0,0.3049629245230754,0.0
