Unnamed: 0,restarts,conflicts,decisions,propagations,CPU time,Result,cnf_id,sample_id,file,final GPU time,refinement CPU time,refinement GPU time,GPU time,time,file_key,solved,method,batch
41,2.0,1759213.0,2001687.0,97922693.0,59.986,INDETERMINATE,41,0,data/eval_batches/3sat/400/batch0/3sat_135.cnf,0.0051047801971435,0.079245,0.3548381328582763,0.3599429130554199,60.42518791305542,3sat_135.cnf,False,pairwise_veto_actual,0
42,2.0,1661377.0,1895524.0,95671847.0,59.9923,INDETERMINATE,42,0,data/eval_batches/3sat/400/batch0/3sat_136.cnf,0.0051047801971435,0.073932,0.3548381328582763,0.3599429130554199,60.42617491305542,3sat_136.cnf,False,pairwise_veto_actual,0
43,2.0,1718320.0,1946394.0,92548535.0,59.9673,INDETERMINATE,43,0,data/eval_batches/3sat/400/batch0/3sat_137.cnf,0.0051047801971435,0.082115,0.3548381328582763,0.3599429130554199,60.40935791305542,3sat_137.cnf,False,pairwise_veto_actual,0
44,2.0,1595556.0,1815356.0,92138829.0,50.6527,SATISFIABLE,44,0,data/eval_batches/3sat/400/batch0/3sat_138.cnf,0.0051047801971435,0.075803,0.3548381328582763,0.3599429130554199,51.08844591305542,3sat_138.cnf,True,pairwise_veto_actual,0
45,2.0,1818155.0,2085507.0,103547095.0,59.9867,INDETERMINATE,45,0,data/eval_batches/3sat/400/batch0/3sat_139.cnf,0.0051047801971435,0.074562,0.3548381328582763,0.3599429130554199,60.42120491305542,3sat_139.cnf,False,pairwise_veto_actual,0
46,2.0,133587.0,154405.0,8365184.0,4.27954,SATISFIABLE,46,0,data/eval_batches/3sat/400/batch0/3sat_14.cnf,0.0051047801971435,0.076559,0.3548381328582763,0.3599429130554199,4.716041913055419,3sat_14.cnf,True,pairwise_veto_actual,0
47,2.0,135171.0,155254.0,8243385.0,4.03448,SATISFIABLE,47,0,data/eval_batches/3sat/400/batch0/3sat_140.cnf,0.0051047801971435,0.075205,0.3548381328582763,0.3599429130554199,4.469627913055421,3sat_140.cnf,True,pairwise_veto_actual,0
48,1.0,71109.0,82102.0,4299119.0,2.41639,SATISFIABLE,48,0,data/eval_batches/3sat/400/batch0/3sat_141.cnf,0.0051047801971435,0.069411,0.3548381328582763,0.3599429130554199,2.84574391305542,3sat_141.cnf,True,pairwise_veto_actual,0
49,1.0,61037.0,70865.0,3765471.0,1.66782,SATISFIABLE,49,0,data/eval_batches/3sat/400/batch0/3sat_142.cnf,0.0051047801971435,0.0711519999999999,0.3548381328582763,0.3599429130554199,2.09891491305542,3sat_142.cnf,True,pairwise_veto_actual,0
0,2.0,1664353.0,1907366.0,95634399.0,59.9945,INDETERMINATE,0,0,data/eval_batches/3sat/400/batch1/3sat_143.cnf,0.0062868595123291,0.069229,1.031110763549805,1.0373976230621338,61.101126623062136,3sat_143.cnf,False,pairwise_veto_actual,1
