file_key,one_shot_solved_seeds,one_shot_solved,one_shot_time_mean,one_shot_time_std,one_shot_result_values,online_solved_seeds,online_solved,online_time_mean,online_time_std,online_result_values,old_compact_solved_seeds,old_compact_solved,old_compact_time_mean,old_compact_time_std,old_compact_result_values,local_correction_solved_seeds,local_correction_solved,local_correction_time_mean,local_correction_time_std,local_correction_result_values,pattern,pattern_label,stable_across_seeds_all_methods,old_minus_online_time_mean,local_minus_online_time_mean,local_minus_old_time_mean,cadical_result,cadical_solved,cadical_time,cadical_wall_time,external_timeout_x,returncode_x,file,local_stage1_solved,Result,stage2_solved,stage2_time,wall_time,external_timeout_y,returncode_y,stage2_run,portfolio_solved,portfolio_time,mode,first_cap,second_cap,portfolio_only_vs_cadical,cadical_only_vs_portfolio
3sat_125.cnf,3,True,3.4685107801310218,0.0406262539394394,SATISFIABLE,3,True,3.524796702331543,0.0200190842067989,SATISFIABLE,3,True,3.5836226125793456,0.1082475044135627,SATISFIABLE,3,True,3.592960065002442,0.0749841147833,SATISFIABLE,1111,p1111,True,0.0588259102478025,0.0681633626708988,0.0093374524230962,SATISFIABLE,True,5.06095805298537,5.06095805298537,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_125.cnf,True,,False,55.0,,,,False,True,3.592960065002442,full,5.0,55.0,False,False
3sat_126.cnf,0,False,60.29700744679769,0.0247495490222998,INDETERMINATE,0,False,60.39812270233154,0.0058443110026694,INDETERMINATE,0,False,60.37895561257936,0.0226076396318969,INDETERMINATE,0,False,60.39043939833578,0.0344274976621385,INDETERMINATE,0000,p0000,True,-0.0191670897521873,-0.007683303995762,0.0114837857564253,UNKNOWN,False,60.0,60.007658056914806,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_126.cnf,False,UNKNOWN,False,55.0,55.00679134717211,False,0.0,True,False,60.0,full,5.0,55.0,False,False
3sat_127.cnf,0,False,60.30690744679769,0.0213710215881048,INDETERMINATE,0,False,60.38603770233154,0.0081858184352176,INDETERMINATE,0,False,60.39043227924602,0.0222690857037433,INDETERMINATE,0,False,60.38464439833577,0.0308761864464899,INDETERMINATE,0000,p0000,True,0.0043945769144784,-0.0013933039957692,-0.0057878809102476,SATISFIABLE,True,53.94842276209965,53.94842276209965,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_127.cnf,False,SATISFIABLE,True,43.58163732197136,43.58163732197136,False,10.0,True,True,48.58163732197136,full,5.0,55.0,False,False
3sat_128.cnf,3,True,34.91937411346435,0.1895550717528531,SATISFIABLE,3,True,8.55309936899821,0.1373819945643571,SATISFIABLE,3,True,8.65705094591268,0.0584454064998296,SATISFIABLE,3,True,8.684183731669108,0.017939632315919,SATISFIABLE,1111,p1111,True,0.1039515769144703,0.131084362670899,0.0271327857564287,SATISFIABLE,True,2.6882882360368967,2.6882882360368967,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_128.cnf,False,SATISFIABLE,True,2.148663794156164,2.148663794156164,False,10.0,True,True,7.148663794156164,full,5.0,55.0,False,False
3sat_129.cnf,3,True,1.1236087801310222,0.016415260794785,SATISFIABLE,3,True,1.2127713689982096,0.0051175109289131,SATISFIABLE,3,True,1.2165036125793458,0.0338361673886432,SATISFIABLE,3,True,1.214219731669108,0.0324776855126877,SATISFIABLE,1111,p1111,True,0.0037322435811362,0.0014483626708985,-0.0022838809102376,SATISFIABLE,True,0.624185673892498,0.624185673892498,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_129.cnf,True,,False,55.0,,,,False,True,1.214219731669108,full,5.0,55.0,False,False
3sat_13.cnf,0,False,60.31410744679769,0.0260467628055671,INDETERMINATE,0,False,60.39630003566487,0.0083667257321103,INDETERMINATE,0,False,60.38924927924601,0.0306031468037624,INDETERMINATE,0,False,60.384322398335776,0.0177243951357273,INDETERMINATE,0000,p0000,True,-0.0070507564188631,-0.011977637329096,-0.0049268809102329,SATISFIABLE,True,52.16563203977421,52.16563203977421,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_13.cnf,False,SATISFIABLE,True,37.53541045216844,37.53541045216844,False,10.0,True,True,42.53541045216844,full,5.0,55.0,False,False
3sat_130.cnf,3,True,4.830630780131021,0.1317451859309582,SATISFIABLE,3,True,4.83760636899821,0.0636321710905783,SATISFIABLE,3,True,4.876885612579346,0.1133742815694348,SATISFIABLE,3,True,4.962869398335776,0.1731930141342036,SATISFIABLE,1111,p1111,True,0.0392792435811362,0.1252630293375656,0.0859837857564294,SATISFIABLE,True,1.4016004079021511,1.4016004079021511,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_130.cnf,True,,False,55.0,,,,False,True,4.962869398335776,full,5.0,55.0,False,False
3sat_131.cnf,3,True,3.679090780131022,0.0228774086084161,SATISFIABLE,3,True,3.652075368998209,0.0120622685008658,SATISFIABLE,3,True,3.737960279246012,0.065493061781292,SATISFIABLE,3,True,3.719567398335775,0.084691234448173,SATISFIABLE,1111,p1111,True,0.0858849102478029,0.0674920293375653,-0.0183928809102376,SATISFIABLE,True,56.96055402420461,56.96055402420461,False,10,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_131.cnf,True,,False,55.0,,,,False,True,3.719567398335775,full,5.0,55.0,False,False
3sat_132.cnf,3,True,0.4205734467976887,0.0281922864647099,SATISFIABLE,3,True,0.4599003689982096,0.01488782966666,SATISFIABLE,3,True,0.4701512792460123,0.024726890825359,SATISFIABLE,3,True,0.471170731669108,0.0271060501963789,SATISFIABLE,1111,p1111,True,0.0102509102478027,0.0112703626708984,0.0010194524230957,UNKNOWN,False,60.0,60.00684765027836,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_132.cnf,True,,False,55.0,,,,False,True,0.471170731669108,full,5.0,55.0,True,False
3sat_133.cnf,0,False,60.30394078013102,0.0246424780037713,INDETERMINATE,0,False,60.39900970233155,0.0051021213868275,INDETERMINATE,0,False,60.39742361257935,0.0181725468805505,INDETERMINATE,0,False,60.40795439833577,0.0190064396624786,INDETERMINATE,0000,p0000,True,-0.0015860897521946,0.0089446960042209,0.0105307857564156,UNKNOWN,False,60.0,60.007604082115,False,0,/home/sunshixin/chenchao/my_rlaf/data/test/3sat/400/3sat_133.cnf,False,UNKNOWN,False,55.0,55.00724552897736,False,0.0,True,False,60.0,full,5.0,55.0,False,False
