solver_name,file_key,repeats,solved_repeats,stable_solved,time_mean,time_min,time_max,results
march,3sat_167.cnf,1,1,True,12.25843521906063,12.25843521906063,12.25843521906063,SATISFIABLE
march,3sat_168.cnf,1,1,True,40.2962299278006,40.2962299278006,40.2962299278006,UNSATISFIABLE
march,3sat_169.cnf,1,1,True,37.3768222797662,37.3768222797662,37.3768222797662,UNSATISFIABLE
march,3sat_17.cnf,1,1,True,28.56055836705491,28.56055836705491,28.56055836705491,UNSATISFIABLE
march,3sat_170.cnf,1,1,True,31.347725122235715,31.347725122235715,31.347725122235715,UNSATISFIABLE
march,3sat_171.cnf,1,1,True,59.62389789288864,59.62389789288864,59.62389789288864,UNSATISFIABLE
march,3sat_172.cnf,1,1,True,42.46033644769341,42.46033644769341,42.46033644769341,UNSATISFIABLE
march,3sat_173.cnf,1,1,True,28.50665432214737,28.50665432214737,28.50665432214737,UNSATISFIABLE
march,3sat_174.cnf,1,1,True,28.38333523692563,28.38333523692563,28.38333523692563,UNSATISFIABLE
march,3sat_175.cnf,1,1,True,0.1511401473544538,0.1511401473544538,0.1511401473544538,SATISFIABLE
march,3sat_176.cnf,1,1,True,0.2106336001306772,0.2106336001306772,0.2106336001306772,SATISFIABLE
